sutta_uid,name,text
mvu20,Basak 1965,"BASAK, Radhagovinda 1965. Mahāvastu Avadāna, vol. 2 (Calcutta Sanskrit College Research Series). Calcutta: Sanskrit College. / SENART, Emile 1890. Le Mahāvastu (vol 2): Texte sanscrit publié pour la première fois et accompagné d’introductions et d’un commentaire (Société Asiatique, Collection d’Ouvrages Orientaux, Seconde série. Paris: Imprimerie Nationale."
mvu30,Basak 1965,"BASAK, Radhagovinda 1965. Mahāvastu Avadāna, vol. 2 (Calcutta Sanskrit College Research Series). Calcutta: Sanskrit College. / SENART, Emile 1890. Le Mahāvastu (vol 2): Texte sanscrit publié pour la première fois et accompagné d’introductions et d’un commentaire (Société Asiatique, Collection d’Ouvrages Orientaux, Seconde série. Paris: Imprimerie Nationale."
mvu70,Senart 1897,"SENART, Emile 1897. Le Mahāvastu (vol 3): Texte sanscrit publié pour la première fois et accompagné d’introductions et d’un commentaire (Société Asiatique, Collection d’Ouvrages Orientaux, Seconde série. Paris: Imprimerie Nationale."
mvu80,Senart 1897,"SENART, Emile 1897. Le Mahāvastu (vol 3): Texte sanscrit publié pour la première fois et accompagné d’introductions et d’un commentaire (Société Asiatique, Collection d’Ouvrages Orientaux, Seconde série. Paris: Imprimerie Nationale."
mvu90,Senart 1897,"SENART, Emile 1897. Le Mahāvastu (vol 3): Texte sanscrit publié pour la première fois et accompagné d’introductions et d’un commentaire (Société Asiatique, Collection d’Ouvrages Orientaux, Seconde série. Paris: Imprimerie Nationale."
mvu100,Senart 1897,"SENART, Emile 1897. Le Mahāvastu (vol 3): Texte sanscrit publié pour la première fois et accompagné d’introductions et d’un commentaire (Société Asiatique, Collection d’Ouvrages Orientaux, Seconde série. Paris: Imprimerie Nationale."
sbv10,Gnoli 1977,"GNOLI, Raniero 1977. The Gilgit manuscript of the Saṅghabhedavastu: Being the 17th and last section of the Vinaya of the Mūlasarvāstivādin, Part I ( = Serie Orientale Roma, XLIX, 1). Roma: Istituto Italiano per il Medio ed Estremo Oriente."
sbv20,Gnoli 1977,"GNOLI, Raniero 1977. The Gilgit manuscript of the Saṅghabhedavastu: Being the 17th and last section of the Vinaya of the Mūlasarvāstivādin, Part I ( = Serie Orientale Roma, XLIX, 1). Roma: Istituto Italiano per il Medio ed Estremo Oriente."
sbv30,Gnoli 1977,"GNOLI, Raniero 1977. The Gilgit manuscript of the Saṅghabhedavastu: Being the 17th and last section of the Vinaya of the Mūlasarvāstivādin, Part I ( = Serie Orientale Roma, XLIX, 1). Roma: Istituto Italiano per il Medio ed Estremo Oriente."
sbv40,Gnoli 1977,"GNOLI, Raniero 1977. The Gilgit manuscript of the Saṅghabhedavastu: Being the 17th and last section of the Vinaya of the Mūlasarvāstivādin, Part I ( = Serie Orientale Roma, XLIX, 1). Roma: Istituto Italiano per il Medio ed Estremo Oriente."
sbv50,Gnoli 1977,"GNOLI, Raniero 1977. The Gilgit manuscript of the Saṅghabhedavastu: Being the 17th and last section of the Vinaya of the Mūlasarvāstivādin, Part I ( = Serie Orientale Roma, XLIX, 1). Roma: Istituto Italiano per il Medio ed Estremo Oriente."
sbv60,Gnoli 1977,"GNOLI, Raniero 1977. The Gilgit manuscript of the Saṅghabhedavastu: Being the 17th and last section of the Vinaya of the Mūlasarvāstivādin, Part I ( = Serie Orientale Roma, XLIX, 1). Roma: Istituto Italiano per il Medio ed Estremo Oriente."
sbv70,Gnoli 1978,"GNOLI, Raniero 1978. The Gilgit manuscript of the Saṅghabhedavastu: Being the 17th and last section of the Vinaya of the Mūlasarvāstivādin, Part II ( = Serie Orientale Roma, XLIX, 2). Roma: Istituto Italiano per il Medio ed Estremo Oriente. "
sbv80,Gnoli 1978,"GNOLI, Raniero 1978. The Gilgit manuscript of the Saṅghabhedavastu: Being the 17th and last section of the Vinaya of the Mūlasarvāstivādin, Part II ( = Serie Orientale Roma, XLIX, 2). Roma: Istituto Italiano per il Medio ed Estremo Oriente. "
sht1,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht2,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht3,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht4,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht5,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht6,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht7,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht8,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht9,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht10,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht11,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht12,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht13,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht14,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht15,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht16,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht17,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht18,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht19,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht20,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht21,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht22,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht23,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht24,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht25,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht26,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht27,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht28,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht29,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht30,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht31,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht32,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht33,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht34,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht35,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht36,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
sht37,SHT,"SHT, Sanskrithandschriften aus den Turfanfunden. 1965 (vol i) ed. W. Clawiter, L. Holzmann, E. Waldschmidt; 1968 (vol ii) ed. idem; 1971 (vol iii) ed. idem; 1980 (vol iv) ed. L. Sander, E. Waldschmidt; 1985 (vol v) ed. idem; 1989 (vol vi) ed. H. Bechert, K. Wille; 1995 (vol vii) ed. idem; 2000 (vol viii) ed. idem; 2004 (vol ix) ed. idem; 2008 (vol x) ed. K. Wille. Wiesbaden/Stuttgart: Franz Steiner."
